no.,title,date,time,planner,category,tag,comment,keyword
#80,ナポリの男たちバーチャル化計画,2018/9/15,90分～,すぎる,オリキャラ／紙芝居,どす恋！／しゃあしゃあ／神回／発注ミス／10万円のケンタッキー／悪夢のレパートリー／USJ／ｽｷﾞﾙｻﾝｯ!,トークテーマ　・ナポ男の大阪旅行記・ナポ男の健康事情,USJ回
#81,hacchiの「霊と過ごす一週間」,2018/9/22,90分～,hacchi,紙芝居,ナポ男給湯室／平成のオッサン／せっかくだからフルチン／おっさん回／兵長／ナポリの生霊たち／ワンペア／エゴサあるある,トークテーマ　・新コーナーナポ男給湯室・ナポ男の思い出ダウト・昔の動画をふりかえってみよう,
#82,ナポリの男たちの占い結果大発表会,2018/9/29,110分～,ナポリ,,ナポ男給湯室／ケン坊泣かせのナポリ／実況ED／金字塔／chu3／メンタル雑魚2人組／いい波に乗る／本場のノリツッコミ／一方その頃すぎるは…,トークテーマ　・ナポ男給湯室・占いにみんなで行こう,米津玄師
#83,蘭たん王を決めろ！蘭たん100問クイズ,2018/10/6,80分～,蘭たん,,ナポ男給湯室／埼玉県神奈川／ゴリラ語／ナポ男100問クイズ／「「ね～」」／蘭たん100問クイズ／神回／おれ女性優位,トークテーマ　・ナポ男給湯室・ミニゲームスペシャル！,都道府県
#84,shu3によるスケベ王決定戦,2018/10/13,90分～,shu3,実写／紙芝居／オリキャラ,シューゲラー／桃優位／俺の山から降りるな／もー！(絶命)／参加型スケベ／蘭たんのガチ泣きチャレンジ,トークテーマ　・ナポ男のマウント王・ナポ男写真部「秋の気配」・あともう一つこの機能があれば・・・,
#85,すぎるのカッコイイ男になりたい,2018/10/20,90分～,すぎる,ゲーム配信／実写,ナポ男給湯室／カスタムキャスト／ブロッコリーチャレンジ／問題作／両側から来るデブを抑えるポーズ／ににんがし／カレンダー,トークテーマ　・ナポ男カレンダープレゼント企画・カスタムキャストで遊ぼう,グッズ企画／
#86,ハロウィン地獄の13企画スペシャル,2018/10/27,80分～,ナポリ,歌回／実写／深淵,地獄回／スイスの聖歌隊／ブロッコリーチャレンジ／涙塩分マルゲリータ／フランスパン工房／パンでそ？／お前日本人ちゃうやんけ！／何光年も一緒だよ／蘭ルモ,地獄の１３企画・・・,ブロッコリー／本田翼
#87,hacchiのワクワク断食チャレンジ,2018/11/3,80分～,hacchi,実写,ナポ男給湯室／純文学／センター分け試験／すぎる_10.21_すぎる／豚畜生先生／神回／ワイやすぎや／雄すぎ／ブロッコリーマン,トークテーマ　・給湯室・俺のブロッコリー・ナポ男の１ページ文学部,雄すぎ／hacchiの手
#88,陰キャでも分かるスタバ入門,2018/11/11,130分?,蘭たん,,イキリフラペチーノ／ナポ男給湯室／スターバックス／カウンセリング回／桃水／神回／懺悔室／詰みのプロ,トークテーマ　・給湯室・ゲームキャラ名付け癖・ナポ男のサインを作ろう・もし女の子ならやりたいバイト,
#89,shu3の癒し企画！,2018/11/17,90分～,shu3,実写／オリキャラ／歌回,ペチャポ／いろんなうどん（ボサノヴァver.）／ブロッコリーチャレンジ／便座ブロック／レジのおばちゃんの昼飯／FUSSA／上田の手／中村さん／神回,トークテーマ　・ナポ男のレシート一週間・死後の世界について,ブロッコリー／徳信
